,Checkpoint 0,Checkpoint 1,Checkpoint 2,Checkpoint 3,Checkpoint 4,Checkpoint 5,Checkpoint 6,Checkpoint 7,Checkpoint 8,Checkpoint 9
slaghoople,169.69908876376806,176.67656304308505,179.56089819644615,176.3206088202134,172.4457961314278,171.23385805637264,178.21873517842965,176.242923233199,181.1434826456545,174.55317297049066
texarock_2,,229.83272880057763,235.5962669734692,259.7168551463001,240.3412507450306,246.04644193653792,248.19885434953204,242.98223762355576,246.7745128394535,228.06311205359356
gazoo,,,213.83761722805664,204.42099185660481,208.21309188065854,218.01456185858984,226.89176366870743,230.61526441474186,222.29825433995336,213.18528314975438
theft,,,,173.70031174283503,169.19797993177787,179.66032341869905,184.43526788857488,176.1647845887695,186.2599677424308,173.48265517606725
yellow_tiger,,,,,209.20045952155044,198.51366725132982,205.97176851890717,200.95143869767702,210.82466160776772,204.51090532722878
helmet_police,,,,,,213.76661248032534,224.82825163465856,226.3530003958487,217.5262755539401,221.3547521959203
piano_man,,,,,,,273.9375818207535,259.33606389647764,262.9367411397336,249.50392216663482
red_hair_lady,,,,,,,,225.52542247441448,231.12772770018938,218.68608114185798
rockzilla,,,,,,,,,218.29994849588974,232.31251208333433
texarock_1,,,,,,,,,,170.08846413887053
