,Checkpoint 0,Checkpoint 1,Checkpoint 2,Checkpoint 3,Checkpoint 4,Checkpoint 5,Checkpoint 6,Checkpoint 7,Checkpoint 8,Checkpoint 9
slaghoople,179.36483885511666,190.08906744999084,181.97293504676657,183.57087094769486,180.50057558772272,179.4077999972347,188.9039618891431,171.4161940802751,180.52051707446668,183.72423539261075
texarock_2,,216.20925364735632,230.40583542527725,239.6081446481392,240.99413835239278,237.28083149060785,259.6855408989668,229.42446415193163,234.8731358135941,231.04660475386376
gazoo,,,209.8602281420106,214.8170392377908,214.57073187634091,207.0970676582671,213.25890334712233,204.34337025179258,209.40390333944538,217.73778675621284
theft,,,,181.24600710909658,180.13876118771682,177.38099145432847,187.03263884222912,179.3812670040225,181.57773092689632,178.57476498251614
yellow_tiger,,,,,198.91944622167324,199.47768244177308,197.15229948472958,192.79889148734202,201.46632740057123,193.39944135993923
helmet_police,,,,,,219.05952473866245,243.02680768897102,212.03208366262618,233.34111556151095,220.147068611257
piano_man,,,,,,,238.80038498280595,237.9370902333677,235.31720785642045,232.05241264239956
red_hair_lady,,,,,,,,239.40218755493632,223.94528326663925,224.91810566483576
rockzilla,,,,,,,,,213.47382667383195,224.54049726455366
texarock_1,,,,,,,,,,173.9299044406647
